ip,commands,unique,severity,intensity,diversity,total
144.172.109.224,381,1,0.5,4.3028163529606935,0.7194373997043944,5.522253752665088
47.79.238.97,381,1,0.5,4.3028163529606935,0.7194373997043944,5.522253752665088
109.122.240.109,381,1,0.5,4.3028163529606935,0.7194373997043944,5.522253752665088
77.37.96.85,381,1,0.5,4.3028163529606935,0.7194373997043944,5.522253752665088
42.96.17.104,381,1,0.5,4.3028163529606935,0.7194373997043944,5.522253752665088
83.168.95.208,381,1,0.5,4.3028163529606935,0.7194373997043944,5.522253752665088
43.157.224.34,381,1,0.5,4.3028163529606935,0.7194373997043944,5.522253752665088
109.122.240.108,381,1,0.5,4.3028163529606935,0.7194373997043944,5.522253752665088
64.225.110.117,381,1,0.5,4.3028163529606935,0.7194373997043944,5.522253752665088
47.236.124.158,374,1,0.49999999999999994,4.289431464346947,0.7194373997043944,5.508868864051341
8.219.145.204,374,1,0.49999999999999994,4.289431464346947,0.7194373997043944,5.508868864051341
101.36.107.152,364,1,0.49999999999999994,4.269870289250067,0.7194373997043944,5.489307688954461
94.182.134.147,364,1,0.49999999999999994,4.269870289250067,0.7194373997043944,5.489307688954461
85.9.111.160,363,1,0.4999999999999999,4.267884775193347,0.7194373997043944,5.487322174897741
172.183.135.148,26,10,0.6036117628556894,2.3852611442166465,2.4888444881675813,5.477717395239917
91.92.40.231,198,2,0.4999990746994012,3.830867496247386,1.1402813001478027,5.4711478710945896
14.103.117.77,18,13,0.5930915265222291,2.1309476694570755,2.7391535248768504,5.463192720856155
193.32.162.151,341,1,0.4999999999999992,4.222765840909567,0.7194373997043944,5.44220324061396
188.241.187.54,334,1,0.49999999999999845,4.207799174774987,0.7194373997043944,5.427236574479379
47.86.176.177,333,1,0.4999999999999983,4.2056355874543625,0.7194373997043944,5.425072987158755
91.92.40.10,118,3,0.4987606239116668,3.4587444812922024,1.4388747994087887,5.396379904612658
157.92.145.135,314,1,0.49999999999998845,4.163248532173126,0.7194373997043944,5.382685931877509
43.252.15.100,46,6,0.5158503138496915,2.786426588216289,2.0197161251724554,5.321993027238436
195.178.110.227,59,5,0.48155841629938,2.9631566707799135,1.8597186998521975,5.304433786931491
185.71.233.73,36,3,1.25205166766762,2.613291416461397,1.4388747994087887,5.304217883537806
92.118.39.92,280,1,0.4999999999996543,4.080586769568775,0.7194373997043944,5.300024169272824
64.226.69.103,156,2,0.4999847837584958,3.6593032803007306,1.1402813001478027,5.299569364207029
178.16.54.95,147,2,0.4999722742002839,3.616579567077518,1.1402813001478027,5.256833141425605
66.181.171.136,255,1,0.49999999999578826,4.0131526024644835,0.7194373997043944,5.232590002164666
91.92.40.13,92,3,0.49497408212768323,3.280330275090844,1.4388747994087887,5.214179156627316
165.22.78.95,138,2,0.49994948029908143,3.571174611598955,1.1402813001478027,5.211405392045839
203.171.29.193,247,1,0.4999999999906266,3.99017545294281,0.7194373997043944,5.209612852637831
47.86.3.155,247,1,0.4999999999906266,3.99017545294281,0.7194373997043944,5.209612852637831
104.43.56.65,247,1,0.4999999999906266,3.99017545294281,0.7194373997043944,5.209612852637831
195.178.110.232,90,3,0.4977417095286937,3.2645966245772264,1.4388747994087887,5.201213133514709
47.253.11.8,239,1,0.49999999997913913,3.966444821396034,0.7194373997043944,5.185882221079567
91.92.40.12,88,3,0.4938613300484658,3.248513308918632,1.4388747994087887,5.181249438375886
165.154.137.186,236,1,0.4999999999718408,3.9573413124362715,0.7194373997043944,5.176778712112506
176.65.139.254,234,1,0.4999999999656063,3.9512080603078665,0.7194373997043944,5.170645459977867
8.218.166.49,229,1,0.49999999994329436,3.935643601944579,0.7194373997043944,5.155081001592268
38.250.116.128,126,2,0.4998875663379106,3.5058322673154247,1.1402813001478027,5.146001133801138
8.218.120.171,212,1,0.49999999968959624,3.88007125521455,0.7194373997043944,5.09950865460854
8.218.85.44,208,1,0.49999999953693197,3.8663510448798495,0.7194373997043944,5.085788444121175
91.92.40.11,76,3,0.4888146140719172,3.1436963393598925,1.4388747994087887,5.071385752840598
89.167.81.47,108,2,0.49962670709581164,3.3952195671172305,1.1402813001478027,5.035127574360845
37.27.214.143,192,1,0.4999999977064091,3.808711089776522,0.7194373997043944,5.028148487187325
80.94.92.171,191,1,0.4999999974651901,3.8049514999205774,0.7194373997043944,5.024388897090161
43.159.169.193,190,1,0.4999999971986018,3.801172277652633,0.7194373997043944,5.020609674555629
82.115.25.218,189,1,0.4999999969039762,3.7973732168567134,0.7194373997043944,5.016810613465084
48.214.55.65,18,9,0.4933249931421348,2.1309476694570755,2.3899193105907366,5.014191973189947
202.133.91.110,186,1,0.49999999582080495,3.7858548927778575,0.7194373997043944,5.005292288303057
177.126.132.44,185,1,0.49999999538127515,3.7819743503989045,0.7194373997043944,5.001411745484574
139.99.74.35,185,1,0.49999999538127515,3.7819743503989045,0.7194373997043944,5.001411745484574
157.230.243.193,102,2,0.4994431124260776,3.3542433740056836,1.1402813001478027,4.993967786579564
40.76.181.211,16,10,0.4543687269440028,2.050451517355084,2.4888444881675813,4.993664732466668
85.11.167.46,15,9,0.5583179297741419,2.0065763012322417,2.3899193105907366,4.954813541597121
45.14.50.135,169,1,0.4999999771233061,3.716877064754722,0.7194373997043944,4.9363144415824225
45.148.10.240,163,1,0.49999995831594607,3.690872371887605,0.7194373997043944,4.9103097299079455
218.157.205.238,18,8,0.48090025639645917,2.1309476694570755,2.280562600295606,4.89241052614914
59.22.201.143,18,8,0.48090025639645917,2.1309476694570755,2.280562600295606,4.89241052614914
118.37.92.184,18,8,0.48090025639645917,2.1309476694570755,2.280562600295606,4.89241052614914
