ip,commands,unique,severity_old,severity_new,intensity,diversity,total_old,total_new,risk_level_old,risk_level_new,persistence_backdoor_hits,dropper_execution_hits,successful_logins,commands_per_login,activity_span_minutes,max_commands_5s,max_commands_1min,burst_10plus_5s,temporal_level,mitigation_decision_old,mitigation_decision_new
165.154.5.173,58,1,0.0,2.0,2.51,0.0,2.51,4.51,LOW,MEDIUM,59,0,58,1.0,771.0085742990176,2,2,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
103.30.75.85,41,1,0.4877,3.9117,2.0187,0.0,2.5063,5.9304,LOW,MEDIUM,42,42,41,1.0,43.71416250069936,1,2,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
209.38.210.222,27,2,0.4372,0.4372,1.4826,0.585,2.5048,2.5048,LOW,LOW,0,0,9,3.0,206.0709265311559,3,9,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
158.94.208.44,27,2,0.4372,0.4372,1.4826,0.585,2.5048,2.5048,LOW,LOW,0,0,9,3.0,34.64584994713466,3,3,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
184.168.21.211,56,1,0.0,2.0,2.5011,0.0,2.5011,4.5011,LOW,MEDIUM,57,0,58,0.9655172413793104,123724.39701913595,2,2,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
211.213.96.171,56,1,0.0,2.0,2.5011,0.0,2.5011,4.5011,LOW,MEDIUM,57,0,56,1.0,11214.261468732357,2,2,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
164.90.157.6,56,1,0.0,2.0,2.5011,0.0,2.5011,4.5011,LOW,MEDIUM,57,0,56,1.0,244.7635930657387,2,2,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
128.1.131.163,56,1,0.0,2.0,2.5011,0.0,2.5011,4.5011,LOW,MEDIUM,57,0,56,1.0,6863.945646798611,2,2,0,NORMAL,BASE_SCORE_REVIEW,BASE_SCORE_REVIEW
139.59.56.88,40,1,0.4861,0.4861,1.9824,0.0,2.4685,2.4685,LOW,LOW,0,0,40,1.0,18.091693381468456,2,6,0,NORMAL,NO_ACTION,NO_ACTION
102.23.122.235,54,1,0.0,2.0,2.4475,0.0,2.4475,4.4475,LOW,MEDIUM,55,0,56,0.9642857142857143,69779.87565768162,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
49.207.40.162,54,1,0.0,2.0,2.4475,0.0,2.4475,4.4475,LOW,MEDIUM,55,0,56,0.9642857142857143,73659.72277880112,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
189.8.5.118,54,1,0.0,2.0,2.4475,0.0,2.4475,4.4475,LOW,MEDIUM,57,0,56,0.9642857142857143,15380.494442117215,2,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
139.59.32.167,24,2,0.4301,0.4301,1.4274,0.585,2.4425,2.4425,LOW,LOW,0,0,8,3.0,10.090364301204682,3,6,0,NORMAL,NO_ACTION,NO_ACTION
36.89.252.58,4,3,0.6464,0.6464,0.7213,1.0,2.3677,2.3677,LOW,LOW,0,0,2,2.0,15723.544972781341,3,3,0,NORMAL,NO_ACTION,NO_ACTION
23.97.62.120,5,4,0.3639,0.3639,0.8054,1.1688,2.3381,2.3381,LOW,LOW,0,0,5,1.0,253.4472071170807,1,1,0,NORMAL,NO_ACTION,NO_ACTION
202.165.29.123,50,1,0.0,2.0,2.3233,0.0,2.3233,4.3233,LOW,MEDIUM,51,0,51,0.9803921568627451,36771.51042181651,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
203.121.40.210,50,1,0.0,2.0,2.3233,0.0,2.3233,4.3233,LOW,MEDIUM,51,0,53,0.9433962264150944,97012.99025581678,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
37.143.61.130,50,1,0.0,2.0,2.3233,0.0,2.3233,4.3233,LOW,MEDIUM,51,0,50,1.0,3112.375388785203,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
218.157.163.203,8,2,0.7047,1.5869,1.0,0.585,2.2896,3.1718,LOW,LOW,0,1,8,1.0,79420.20089060068,4,4,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
181.167.144.229,48,1,0.0,1.995,2.2587,0.0,2.2587,4.2537,LOW,MEDIUM,49,0,48,1.0,13963.739906481902,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
168.144.40.190,3,3,0.6139,0.6139,0.6218,1.0,2.2357,2.2357,LOW,LOW,0,0,153,0.0196078431372549,1079.3181849320729,1,1,0,NORMAL,NO_ACTION,NO_ACTION
160.30.112.64,3,3,0.6139,0.6139,0.6218,1.0,2.2357,2.2357,LOW,LOW,0,0,189,0.015873015873015872,1202.9032079021135,1,1,0,NORMAL,NO_ACTION,NO_ACTION
